,年月日,平均気温(℃),平均現地気圧(hPa),最大風速(m/s),最低気温(℃),最高気温(℃)
156,2022/3/4,10.3,1008.9,7.2,5.6,13.5
157,2022/3/5,13.3,1001.3,15.0,8.6,16.5
158,2022/3/6,8.3,1004.5,11.4,5.5,11.2
159,2022/3/7,7.2,1008.9,4.8,3.6,10.1
160,2022/3/8,9.5,1007.6,7.3,4.9,13.5
161,2022/3/9,10.8,1010.6,4.4,7.0,15.0
162,2022/3/10,11.7,1013.6,7.0,7.8,16.0
163,2022/3/11,13.6,1012.1,8.9,9.0,16.4
164,2022/3/12,16.0,1010.8,9.6,14.0,18.7
165,2022/3/13,16.6,1010.0,6.1,13.8,19.2
166,2022/3/14,17.3,1004.8,10.1,15.7,19.4
167,2022/3/15,17.2,1002.2,9.0,13.3,22.2
168,2022/3/16,15.1,1006.4,8.1,11.6,19.0
169,2022/3/17,15.6,1008.8,5.8,11.9,19.2
170,2022/3/18,14.8,996.0,10.1,13.5,15.8
171,2022/3/19,12.5,993.5,13.1,10.1,16.0
172,2022/3/20,11.3,1006.1,9.2,8.5,15.4
173,2022/3/21,11.7,1012.7,5.2,8.1,15.7
174,2022/3/22,9.0,1008.4,6.9,7.9,11.0
175,2022/3/23,9.1,1008.2,8.9,6.7,13.1
176,2022/3/24,11.2,1010.1,11.3,5.9,15.7
177,2022/3/25,13.2,1017.6,5.1,8.9,16.9
178,2022/3/26,16.4,1003.6,11.1,12.7,18.3
179,2022/3/27,17.0,1000.1,11.6,14.0,19.4
180,2022/3/28,15.2,1011.7,7.0,13.7,17.1
181,2022/3/29,13.7,1018.1,6.0,13.2,15.0
182,2022/3/30,15.6,1015.6,4.5,13.0,18.9
183,2022/3/31,16.2,1009.4,7.4,13.8,19.1
184,2022/4/1,10.3,1012.9,6.1,6.9,14.7
185,2022/4/2,9.9,1017.0,6.2,6.2,13.4
186,2022/4/3,11.6,1015.6,9.0,10.1,12.6
187,2022/4/4,14.4,1014.0,6.8,11.7,18.5
188,2022/4/5,13.6,1013.3,5.2,9.0,17.7
189,2022/4/6,15.4,1011.4,8.3,12.2,18.9
190,2022/4/7,16.3,1008.1,6.6,12.0,19.7
191,2022/4/8,16.9,1009.9,9.4,14.2,20.1
192,2022/4/9,16.8,1011.4,5.6,12.5,20.3
193,2022/4/10,17.5,1012.2,5.2,14.1,20.8
194,2022/4/11,17.9,1011.1,4.2,14.6,21.4
195,2022/4/12,19.1,1006.7,4.5,16.5,22.3
196,2022/4/13,20.2,1004.9,5.1,18.4,23.1
197,2022/4/14,19.8,1004.9,6.4,17.8,23.2
198,2022/4/15,18.6,998.8,9.3,16.9,22.9
199,2022/4/16,15.9,1000.5,5.3,12.5,19.4
200,2022/4/17,15.4,1008.1,7.2,11.4,19.5
201,2022/4/18,16.7,1007.1,4.8,13.8,19.4
202,2022/4/19,17.8,1007.4,4.7,14.9,21.2
203,2022/4/20,17.8,1010.3,5.1,14.3,21.4
204,2022/4/21,17.5,1007.8,10.1,16.3,20.6
205,2022/4/22,18.8,1004.5,10.5,17.1,21.2
206,2022/4/23,18.4,1005.5,7.9,17.1,20.9
207,2022/4/24,16.9,1004.2,9.0,15.6,18.2
208,2022/4/25,18.9,1006.6,3.1,17.1,22.5
209,2022/4/26,20.2,1003.8,8.7,18.3,21.8
210,2022/4/27,19.6,1002.6,10.8,18.7,20.7
211,2022/4/28,18.9,1007.1,7.7,17.0,22.7
212,2022/4/29,17.7,998.6,15.2,13.2,21.8
213,2022/4/30,16.0,1005.7,9.4,11.6,20.1
214,2022/5/1,16.5,1001.6,8.6,13.8,20.1
215,2022/5/2,15.2,1003.5,9.7,10.6,18.5
216,2022/5/3,15.2,1010.1,5.6,11.4,19.0
217,2022/5/4,17.2,1014.6,5.9,13.0,20.8
218,2022/5/5,18.3,1014.9,3.1,14.8,22.5
219,2022/5/6,18.6,1012.1,6.7,16.7,20.2
220,2022/5/7,19.7,1007.5,6.1,17.5,23.8
221,2022/5/8,19.5,1007.1,9.7,16.4,22.6
222,2022/5/9,17.3,1007.6,5.2,14.8,20.5
223,2022/5/10,17.0,1009.5,8.5,14.4,20.2
224,2022/5/11,17.7,1009.9,7.4,16.0,20.3
225,2022/5/12,18.6,1006.2,7.4,17.9,19.9
226,2022/5/13,19.8,999.3,9.9,18.4,21.4
227,2022/5/14,21.3,997.3,9.7,18.0,24.5
228,2022/5/15,18.5,1002.7,4.7,15.4,22.6
229,2022/5/16,17.0,1004.0,2.5,15.2,19.5
230,2022/5/17,16.6,1007.2,3.1,15.2,18.8
231,2022/5/18,19.2,1011.0,6.1,14.4,23.8
232,2022/5/19,20.3,1011.3,4.7,15.5,24.1
233,2022/5/20,20.7,1008.0,4.7,17.7,23.9
234,2022/5/21,17.4,1001.7,8.5,15.6,20.3
235,2022/5/22,20.3,998.3,12.3,15.7,25.1
236,2022/5/23,22.1,1002.7,5.4,18.4,25.4
237,2022/5/24,21.9,1007.2,6.5,19.2,25.2
238,2022/5/25,22.0,1004.4,7.0,19.4,25.3
239,2022/5/26,21.0,999.9,9.9,19.2,23.2
240,2022/5/27,22.1,992.5,10.7,19.5,24.7
241,2022/5/28,22.6,997.5,10.6,19.1,26.0
242,2022/5/29,22.7,999.6,6.5,18.6,26.9
243,2022/5/30,21.0,996.7,8.2,19.3,23.5
244,2022/5/31,20.9,996.6,7.7,18.8,23.9
245,2022/6/1,20.6,1000.8,3.8,17.7,24.7
246,2022/6/2,21.2,1000.8,5.8,16.5,25.2
247,2022/6/3,22.2,1001.1,9.0,19.1,25.2
248,2022/6/4,22.1,1003.3,6.3,19.3,25.3
249,2022/6/5,20.8,1001.0,9.1,17.4,22.7
250,2022/6/6,19.2,986.7,10.1,16.8,21.8
251,2022/6/7,21.2,994.8,10.1,19.4,24.6
252,2022/6/8,20.6,1002.8,4.4,16.8,24.2
253,2022/6/9,21.4,1006.1,5.9,17.7,25.0
254,2022/6/10,22.0,1008.0,5.7,19.0,25.1
255,2022/6/11,20.0,1003.5,11.5,18.2,21.8
256,2022/6/12,22.5,1000.2,9.1,18.7,27.1
257,2022/6/13,20.8,1003.2,6.4,17.7,23.6
258,2022/6/14,18.4,1002.5,13.5,17.4,19.4
259,2022/6/15,20.0,1002.5,11.0,18.2,21.8
260,2022/6/16,21.5,1003.7,5.3,20.0,22.5
261,2022/6/17,23.2,1003.6,5.4,21.9,25.5
262,2022/6/18,21.8,1002.0,7.8,20.7,23.0
263,2022/6/19,22.5,1002.5,5.1,20.8,24.1
264,2022/6/20,22.8,999.4,5.1,21.6,24.5
265,2022/6/21,22.5,1000.0,6.8,21.0,23.7
266,2022/6/22,24.2,1001.0,7.4,23.0,26.6
267,2022/6/23,24.5,1003.4,5.2,22.2,26.6
268,2022/6/24,25.1,1001.0,8.9,24.1,26.5
269,2022/6/25,24.8,1003.5,9.5,23.7,26.8
270,2022/6/26,24.4,1008.7,9.5,21.5,27.0
271,2022/6/27,25.2,1008.7,6.5,24.1,26.7
272,2022/6/28,25.5,1006.7,6.3,24.3,27.4
273,2022/6/29,25.7,1006.0,6.8,24.2,27.6
274,2022/6/30,26.0,1006.6,8.1,24.4,28.1
275,2022/7/1,26.0,1008.1,6.9,23.8,28.6
276,2022/7/2,26.2,1007.7,4.3,23.0,29.3
277,2022/7/3,24.6,1005.5,4.3,23.4,25.8
278,2022/7/4,23.7,1003.6,5.0,22.6,24.9
279,2022/7/5,24.6,999.5,10.3,23.0,26.0
280,2022/7/6,26.1,998.8,11.5,24.3,28.0
281,2022/7/7,26.4,1001.8,5.9,24.2,29.0
282,2022/7/8,25.7,999.2,6.6,23.5,27.8
283,2022/7/9,26.1,995.5,3.8,24.1,29.0
284,2022/7/10,26.5,998.0,5.3,24.6,29.4
285,2022/7/11,26.7,1000.3,5.0,24.5,29.4
286,2022/7/12,26.5,999.3,5.5,25.5,28.9
287,2022/7/13,26.6,997.1,5.6,24.4,29.0
288,2022/7/14,24.7,996.0,4.2,23.0,27.3
289,2022/7/15,25.7,993.8,5.8,23.2,27.9
290,2022/7/16,24.4,992.9,7.6,20.8,27.4
291,2022/7/17,25.7,993.5,11.0,22.8,28.4
292,2022/7/18,26.2,998.5,6.4,24.6,28.5
293,2022/7/19,26.4,997.2,11.2,25.5,28.1
294,2022/7/20,26.1,998.5,7.8,24.2,28.3
295,2022/7/21,26.3,997.9,4.1,23.1,29.7
296,2022/7/22,27.1,994.1,11.1,25.2,30.4
297,2022/7/23,26.3,996.9,4.9,23.7,29.5
298,2022/7/24,26.0,1000.4,4.0,23.0,29.3
299,2022/7/25,26.8,1002.2,5.4,23.7,29.8
300,2022/7/26,27.3,1001.7,3.8,24.4,30.7
301,2022/7/27,27.7,1004.1,5.1,25.9,30.7
302,2022/7/28,27.3,1006.0,6.7,24.9,30.3
303,2022/7/29,27.3,1007.6,6.9,24.6,30.7
304,2022/7/30,27.5,1007.3,6.9,25.2,30.5
305,2022/7/31,27.9,1007.1,4.7,25.7,30.9
306,2022/8/1,28.0,1007.0,5.0,25.4,30.6
307,2022/8/2,28.1,1006.7,8.7,26.7,30.0
308,2022/8/3,28.3,1003.8,11.5,27.3,30.4
309,2022/8/4,28.6,1001.1,8.5,26.8,31.6
310,2022/8/5,26.2,999.4,8.2,23.4,31.4
311,2022/8/6,27.2,1001.0,4.9,24.0,30.9
312,2022/8/7,28.1,1003.5,5.0,24.8,31.2
313,2022/8/8,28.2,1004.8,5.2,25.1,31.3
314,2022/8/9,29.0,1004.7,5.0,26.3,31.7
315,2022/8/10,29.2,1003.9,4.3,27.4,32.0
316,2022/8/11,28.8,1002.8,5.1,26.1,32.0
317,2022/8/12,27.9,1000.1,6.2,25.4,31.3
318,2022/8/13,28.7,999.0,13.4,24.9,30.7
319,2022/8/14,29.0,1001.8,9.9,27.7,31.1
320,2022/8/15,29.1,1001.6,9.0,27.5,31.1
321,2022/8/16,28.7,1000.9,10.7,27.5,30.6
322,2022/8/17,28.3,1002.4,9.0,27.1,30.6
323,2022/8/18,27.2,999.3,9.0,24.8,29.2
324,2022/8/19,26.8,998.6,7.1,23.7,29.5
325,2022/8/20,27.7,996.7,6.0,25.6,30.4
326,2022/8/21,27.8,996.2,5.7,26.2,30.9
327,2022/8/22,27.7,998.0,6.7,25.9,31.1
328,2022/8/23,28.1,998.4,3.6,25.9,31.2
329,2022/8/24,28.5,998.1,5.3,26.7,31.3
330,2022/8/25,28.6,997.9,5.8,26.5,31.3
331,2022/8/26,27.8,997.4,5.1,25.1,31.5
332,2022/8/27,27.8,998.6,3.6,25.9,30.9
333,2022/8/28,27.5,1002.3,5.0,24.9,30.5
334,2022/8/29,25.1,1007.2,9.3,22.9,28.3
335,2022/8/30,26.4,1004.1,7.1,23.7,29.1
336,2022/8/31,28.2,1001.6,5.0,25.7,31.1
337,2022/9/1,28.5,1003.1,5.4,26.8,31.0
338,2022/9/2,27.6,1005.8,5.6,24.3,30.8
339,2022/9/3,26.9,1006.6,6.0,23.8,30.8
340,2022/9/4,26.8,1006.6,5.9,24.3,30.1
341,2022/9/5,27.9,1005.6,6.4,25.2,31.0
342,2022/9/6,28.2,1002.3,7.9,25.4,31.0
343,2022/9/7,27.9,1003.1,5.3,25.9,31.5
344,2022/9/8,25.9,1004.8,6.3,24.5,28.5
345,2022/9/9,25.3,1005.1,6.1,24.1,27.4
346,2022/9/10,25.7,1006.4,5.9,24.8,27.5
347,2022/9/11,26.9,1005.9,7.0,25.3,29.5
348,2022/9/12,26.6,1004.8,7.7,25.0,29.1
349,2022/9/13,26.8,1005.7,6.8,24.4,29.8
350,2022/9/14,27.8,1005.7,7.0,25.8,30.3
351,2022/9/15,26.4,1004.9,8.8,24.7,29.1
352,2022/9/16,26.9,1003.3,9.7,25.0,29.0
353,2022/9/17,26.8,1001.1,9.9,24.7,28.5
354,2022/9/18,27.9,997.0,12.0,26.9,29.1
355,2022/9/19,27.6,989.5,12.3,24.5,29.0
356,2022/9/20,24.2,993.6,10.0,20.7,27.8
357,2022/9/21,22.9,1004.0,6.6,19.6,26.7
358,2022/9/22,22.0,1006.5,9.8,20.5,24.7
359,2022/9/23,23.5,1000.8,9.7,22.1,24.7
360,2022/9/24,25.5,1001.4,9.5,22.3,29.2
361,2022/9/25,24.3,1006.0,5.2,21.5,27.7
362,2022/9/26,25.4,1007.2,6.0,23.2,28.7
363,2022/9/27,24.8,1004.7,6.2,23.1,27.5
364,2022/9/28,23.7,1002.0,5.0,21.5,26.5
365,2022/9/29,23.8,1004.0,5.0,21.6,27.1
